SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;cod_rete;comune;provincia;County;nome_rete;area;cod_reg;Comments;State;annoInizio;annoFine;tipo
6869;S. MARIA DI LEUCA;163600;163600;39,817;18,350;112;11;CASTRIGNANO DEL CAPO;LECCE;PUGLIA;Sinottica;sud;16;NA;Italy;1961;2020;sito3
6870;LAMEZIA TERME;163620;163620;38,900;16,250;15;11;LAMEZIA TERME;CATANZARO;CALABRIA;Sinottica;sud;18;NA;Italy;1979;2020;sito3
6874;USTICA;164000;164000;38,700;13,183;251;11;USTICA;PALERMO;SICILIA;Sinottica;sud;19;NA;Italy;1961;2020;sito3
6876;PALERMO/PUNTA RAISI;164050;164050;38,183;13,100;21;11;CINISI;PALERMO;SICILIA;Sinottica;sud;19;NA;Italy;1965;2020;sito3
6881;MESSINA;164200;164200;38,200;15,550;51;11;MESSINA;MESSINA;SICILIA;Sinottica;sud;19;NA;Italy;1961;2020;sito3
6882;REGGIO CALABRIA;164220;164220;38,067;15,650;21;11;REGGIO CALABRIA;REGGIO CALABRIA;CALABRIA;Sinottica;sud;18;NA;Italy;1973;2020;sito3
6883;TRAPANI/BIRGI;164290;164290;37,917;12,500;14;11;MARSALA;TRAPANI;SICILIA;Sinottica;sud;19;NA;Italy;1962;2020;sito3
6884;PRIZZI;164340;164340;37,717;13,433;1035;11;PRIZZI;PALERMO;SICILIA;Sinottica;sud;19;NA;Italy;1961;2020;sito3
6889;GELA;164530;164530;37,083;14,217;65;11;GELA;CALTANISSETTA;SICILIA;Sinottica;sud;19;NA;Italy;1966;2020;sito3
6893;CATANIA/FONTANAROSS;164600;164600;37,467;15,050;17;11;CATANIA;CATANIA;SICILIA;Sinottica;sud;19;NA;Italy;1965;2020;sito3
6897;PANTELLERIA;164700;164700;36,817;11,967;170;11;PANTELLERIA;TRAPANI;SICILIA;Sinottica;sud;19;NA;Italy;1961;2020;sito3
6901;COZZO SPADARO;164800;164800;36,683;15,133;51;11;PORTOPALO DI CAPO PASSERO;SIRACUSA;SICILIA;Sinottica;sud;19;NA;Italy;1961;2020;sito3
6902;LAMPEDUSA;164900;164900;35,500;12,600;20;11;LAMPEDUSA E LINOSA;AGRIGENTO;SICILIA;Sinottica;sud;19;NA;Italy;1967;2020;sito3
6906;ALGHERO;165200;165200;40,633;8,283;40;11;ALGHERO;SASSARI;SARDEGNA;Sinottica;sud;20;NA;Italy;1966;2020;sito3
6910;OLBIA/COSTA SMERALD;165310;165310;40,900;9,517;13;11;OLBIA;SASSARI;SARDEGNA;Sinottica;sud;20;NA;Italy;1970;2020;sito3
6914;CAPO FRASCA;165390;165390;39,750;8,467;95;11;ARBUS;CAGLIARI;SARDEGNA;Sinottica;sud;20;NA;Italy;1963;2020;sito3
6919;DECIMOMANNU;165460;165460;39,350;8,967;28;11;VILLASOR;CAGLIARI;SARDEGNA;Sinottica;sud;20;NA;Italy;1962;2020;sito3
6922;CAPO BELLAVISTA;165500;165500;39,933;9,717;150;11;TORTOLI';NUORO;SARDEGNA;Sinottica;sud;20;NA;Italy;1961;2020;sito3
6923;CAGLIARI/ELMAS;165600;165600;39,250;9,067;5;11;ELMAS;CAGLIARI;SARDEGNA;Sinottica;sud;20;NA;Italy;1961;2020;sito3
6925;CAPO CARBONARA;165640;165640;39,100;9,517;118;11;VILLASIMIUS;CAGLIARI;SARDEGNA;Sinottica;sud;20;NA;Italy;1961;2020;sito3
